Symbol,Company Name,Industry,Series,ISIN Code
360ONE.NS,360 ONE WAM Ltd.,Financial Services,EQ,INE466L01038
3MINDIA.NS,3M India Ltd.,Diversified,EQ,INE470A01017
ABB.NS,ABB India Ltd.,Capital Goods,EQ,INE117A01022
ACC.NS,ACC Ltd.,Construction Materials,EQ,INE012A01025
ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,EQ,INE622W01025
AIAENG.NS,AIA Engineering Ltd.,Capital Goods,EQ,INE212H01026
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,EQ,INE702C01027
AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,EQ,INE949L01017
AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods,EQ,INE699H01024
AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,EQ,INE883F01010
AARTIIND.NS,Aarti Industries Ltd.,Chemicals,EQ,INE769A01020
AAVAS.NS,Aavas Financiers Ltd.,Financial Services,EQ,INE216P01012
ABBOTINDIA.NS,Abbott India Ltd.,Healthcare,EQ,INE358A01014
ACE.NS,Action Construction Equipment Ltd.,Capital Goods,EQ,INE731H01025
ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,EQ,INE931S01010
ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,EQ,INE423A01024
ADANIGREEN.NS,Adani Green Energy Ltd.,Power,EQ,INE364U01010
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,EQ,INE742F01042
ADANIPOWER.NS,Adani Power Ltd.,Power,EQ,INE814H01029
ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE399L01023
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,EQ,INE674K01013
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,EQ,INE647O01011
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,EQ,INE14LE01019
ABREL.NS,Aditya Birla Real Estate Ltd.,Forest Materials,EQ,INE055A01016
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services,EQ,INE404A01024
AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,EQ,INE208C01025
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,EQ,INE0INX01018
AFCONS.NS,Afcons Infrastructure Ltd.,Construction,EQ,INE101I01011
AFFLE.NS,Affle 3i Ltd.,Information Technology,EQ,INE00WC01027
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare,EQ,INE031B01049
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,EQ,INE09XN01023
AKZOINDIA.NS,Akzo Nobel India Ltd.,Consumer Durables,EQ,INE133A01011
APLLTD.NS,Alembic Pharmaceuticals Ltd.,Healthcare,EQ,INE901L01018
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,EQ,INE540L01014
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,Chemicals,EQ,INE150B01039
ALOKINDS.NS,Alok Industries Ltd.,Textiles,EQ,INE270A01029
ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,EQ,INE885A01032
AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables,EQ,INE371P01015
AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,EQ,INE079A01024
ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services,EQ,INE463V01026
ANANTRAJ.NS,Anant Raj Ltd.,Realty,EQ,INE242C01024
ANGELONE.NS,Angel One Ltd.,Financial Services,EQ,INE732I01013
APARINDS.NS,Apar Industries Ltd.,Capital Goods,EQ,INE372A01015
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,EQ,INE437A01024
APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components,EQ,INE438A01022
APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services,EQ,INE852O01025
ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components,EQ,INE439A01020
ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,EQ,INE208A01029
ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,EQ,INE021A01026
ASTERDM.NS,Aster DM Healthcare Ltd.,Healthcare,EQ,INE914M01019
ASTRAZEN.NS,AstraZenca Pharma India Ltd.,Healthcare,EQ,INE203A01020
ASTRAL.NS,Astral Ltd.,Capital Goods,EQ,INE006I01046
ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components,EQ,INE0LEZ01016
ATUL.NS,Atul Ltd.,Chemicals,EQ,INE100A01010
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,EQ,INE406A01037
AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services,EQ,INE206F01022
DMART.NS,Avenue Supermarts Ltd.,Consumer Services,EQ,INE192R01011
AXISBANK.NS,Axis Bank Ltd.,Financial Services,EQ,INE238A01034
BASF.NS,BASF India Ltd.,Chemicals,EQ,INE373A01013
BEML.NS,BEML Ltd.,Capital Goods,EQ,INE258A01024
BLS.NS,BLS International Services Ltd.,Consumer Services,EQ,INE153T01027
BSE.NS,BSE Ltd.,Financial Services,EQ,INE118H01025
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,EQ,INE917I01010
BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,EQ,INE296A01032
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,EQ,INE918I01026
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,EQ,INE118A01012
BAJAJHFL.NS,Bajaj Housing Finance Ltd.,Financial Services,EQ,INE377Y01014
BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components,EQ,INE787D01026
BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,EQ,INE119A01028
BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services,EQ,INE545U01014
BANKBARODA.NS,Bank of Baroda,Financial Services,EQ,INE028A01039
BANKINDIA.NS,Bank of India,Financial Services,EQ,INE084A01016
MAHABANK.NS,Bank of Maharashtra,Financial Services,EQ,INE457A01014
BATAINDIA.NS,Bata India Ltd.,Consumer Durables,EQ,INE176A01028
BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals,EQ,INE462A01022
BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables,EQ,INE463A01038
BDL.NS,Bharat Dynamics Ltd.,Capital Goods,EQ,INE171Z01026
BEL.NS,Bharat Electronics Ltd.,Capital Goods,EQ,INE263A01024
BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components,EQ,INE465A01025
BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,EQ,INE257A01026
BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE029A01011
BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,EQ,INE397D01024
BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication,EQ,INE343G01021
BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,EQ,INE00E101023
BIOCON.NS,Biocon Ltd.,Healthcare,EQ,INE376G01013
BSOFT.NS,Birlasoft Ltd.,Information Technology,EQ,INE836A01035
BLUEDART.NS,Blue Dart Express Ltd.,Services,EQ,INE233B01017
BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare,EQ,INE0KBH01020
BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables,EQ,INE472A01039
BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,EQ,INE050A01025
BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,EQ,INE323A01026
FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services,EQ,INE02RE01045
BRIGADE.NS,Brigade Enterprises Ltd.,Realty,EQ,INE791I01019
BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,EQ,INE216A01030
MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology,EQ,INE0BV301023
CCL.NS,CCL Products (I) Ltd.,Fast Moving Consumer Goods,EQ,INE421D01022
CESC.NS,CESC Ltd.,Power,EQ,INE486A01021
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods,EQ,INE067A01029
